Date,Description,Debit Amt,Credit Amt,Balance
21-11-2024 Cheque,Deposit Local,,515.93,11197.96
26-11-2024 Fuel,Purchase Debit,,4319.32,15517.28
01-12-2024 Fuel,Purchase Debit,,821.75,16339.03
04-12-2024 Cheque,Deposit Local,,2939.04,13399.99
07-12-2024 Dining,Out Card,,2177.58,15577.57
13-12-2024 Cash,Deposit Branch,,1210.14,14367.43
17-12-2024 IMPS,UPI Payment,,1683.84,16051.27
18-12-2024 Cash,Deposit Branch,,4706.8,11344.47
24-12-2024 Cheque,Deposit Local,,1359.0,12703.47
27-12-2024 NEFT,Transfer From PQR,,4678.02,8025.45
01-01-2025 UPI,QR Payment,,2447.81,10473.26
05-01-2025 UPI,QR Payment,,270.87,10202.39
15-01-2025 NEFT,Transfer From PQR,,3782.46,6419.93
23-01-2025 Credit,Card Payment,,426.36,6846.29
27-01-2025 Service,Charge GST,,4332.26,2514.03
27-01-2025 Fuel,Purchase Debit Card 1533.65 4047.68ChatGPT,,,Bannk
30-01-2025 UPI,QR Payment,,4960.86,9008.54
02-02-2025 IMPS,UPI Payment,,2693.97,11702.51
14-02-2025 Online,Card Purchase,,737.74,12440.25
21-02-2025 Dining,Out Card,,3973.65,8466.6
24-02-2025 IMPS,UPI Payment,,1998.34,10464.94
24-02-2025 Salary,Credit XYZ Pvt,,1611.68,12076.62
01-03-2025 Credit,Card Payment,,4509.03,7567.59
02-03-2025 Dining,Out Card,,2922.99,10490.58
10-03-2025 Interest,Credit Saving,,187.17,10677.75
12-03-2025 IMPS,UPI Payment,,741.32,9936.43
13-03-2025 Insurance,Premium Auto,,2881.87,12818.3
18-03-2025 Interest,Credit Saving,,884.31,11933.99
21-03-2025 ATM,Cash Withdrawal,,189.74,11744.25
31-03-2025 Insurance,Premium Auto,,3183.71,8560.54
01-04-2025 Dining,Out Card,,1786.81,6773.73
10-04-2025 Fuel,Purchase Debit,,3455.33,10229.06
10-04-2025 Salary,Credit XYZ Pvt,,3130.96,7098.1
12-04-2025 Insurance,Premium Auto,,827.09,6271.01
16-04-2025 Dining,Out Card,,4890.35,11161.36
19-04-2025 Online,Card Purchase,,2634.0,8527.36
22-04-2025 Credit,Card Payment,,4168.32,12695.68
25-04-2025 Salary,Credit XYZ Pvt,,4183.97,16879.65
27-04-2025 IMPS,UPI Transfer,,4087.04,12792.61
28-04-2025 IMPS,UPI Transfer,,363.47,12429.14
05-05-2025 NEFT,Transfer From PQR,,22.16,12451.3
17-05-2025 Salary,Credit XYZ Pvt,,1863.31,10587.99
21-05-2025 Fuel,Purchase Debit,,4526.6,6061.39
31-05-2025 Dining,Out Card,,2583.14,3478.25
01-06-2025 Salary,Credit XYZ Pvt,,4044.7,-566.45
01-06-2025 Salary,Credit XYZ Pvt,,2617.5,-3183.95
07-06-2025 Dining,Out Card,,3077.91,-106.04
08-06-2025 Electricity,Bill NEFT,,3949.78,3843.74
10-06-2025 Utility,Bill Payment,,4567.77,-724.03
18-06-2025 Utility,Bill Payment,,1980.53,-2704.56
18-06-2025 Interest,Credit Saving,,4805.82,2101.26
21-06-2025 Electricity,Bill NEFT,,395.05,2496.31
26-06-2025 Online,Card Purchase,,1263.09,3759.4
27-06-2025 ATM,Cash Withdrawal,,4944.55,-1185.15
30-06-2025 Interest,Credit Saving,,150.91,-1336.06
05-07-2025 IMPS,UPI Payment,,4883.29,3547.23
06-07-2025 Interest,Credit Saving,,1248.14,2299.09
08-07-2025 Online,Card Purchase,,4029.62,-1730.53
14-07-2025 Mobile,Recharge Via,,380.91,-2111.44
16-07-2025 ATM,Cash Withdrawal,,4630.04,2518.6
19-07-2025 NEFT,Transfer From PQR,,1581.69,936.91
20-07-2025 Utility,Bill Payment,,2989.23,3926.14
23-07-2025 Salary,Credit XYZ Pvt,,2988.46,6914.6
24-07-2025 Electricity,Bill NEFT,,2917.52,3997.08
25-07-2025 Salary,Credit XYZ Pvt,,566.32,3430.76
27-07-2025 ATM,Cash Withdrawal,,2156.01,5586.77
